"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","mu_D_3","p_G_D","start_date"
"kabwe","beta18",-9.61268483231975e-06,7.58263187734932e-06,-5.31660391346177e-05,-6.86324055274295e-07,1.19478019270492e-05,2.17179061857335e-07,1.65647363170128e-05,-1.06774074946127e-05,-3.29660163335615e-05,-0.000110327054312324,0.00037490771870588,-0.000213066529179529,2.2701344415073e-05,-7.01673176701793e-06,-1.9770741452224e-05,1.84569045254495e-05,-1.20337537087291e-05,-6.03249015676769e-06,2.46833447646677e-05,-1.79592620898146e-05,-2.65638545733692e-05,8.66330958315882e-06,6.67688042334361e-05,-1.68398576322477e-05,-2.15430266014048e-05,1.53018727545206e-05,-1.58355836455514e-05,-1.95761329876918e-05,1.91537264228858e-05,1.21834286087332e-06,8.93981752489174e-06,3.64080963461955e-06,1.62607322037777e-05,7.08207287147861e-06,1.14646726428376e-06,1.4852799713305e-05,-3.5175612073841e-05,7.95514554742415e-06,4.99697484440778e-06,1.6217762727183e-05,-3.25869763143779e-05,9.90454460196004e-05,-3.40568889514363e-05,0.000223021198630493,-0.000770289889076041,-0.000463367801933543,3.12745227850405e-05,0.0128841532508186
"kabwe","beta19",-4.54858402377206e-06,-5.52489384258015e-06,0.000182915229783556,-1.75176866738643e-05,-1.99002699756341e-05,-5.41582355039249e-05,-7.15776409041066e-05,2.66722414229901e-05,-6.31273478391285e-05,-0.000107964096007458,-0.000213066529179529,0.000762993677251234,-4.90748614231546e-05,-0.000137490877244254,9.78219011458647e-06,-3.54682646374545e-05,3.06825534680477e-05,1.07255665711123e-05,-1.41624259748628e-05,3.10651595934944e-05,-3.01856762425438e-05,5.23379834505189e-05,-0.000118207761278726,5.31603148922869e-05,6.78290989199921e-05,-1.53789119479354e-05,1.3834709016743e-05,2.81211420596888e-05,-1.32989372576857e-05,4.63192039447318e-06,6.08282293820681e-06,-1.3853145974211e-05,-2.59604199340735e-05,3.6346820872156e-05,2.33631085447186e-05,-6.9785061937327e-05,7.06559072677216e-05,-1.99399540022644e-05,-1.49026958633435e-05,-1.93098140269725e-05,5.82148422734929e-05,-0.000188507999722007,4.0771340639742e-05,-0.000735022852565179,0.000186074549426745,0.000559214760754316,7.56665907421174e-05,-0.0218845008624057
"kabwe","beta2",1.46377597880314e-05,-6.81219569477637e-06,-0.000135407614850621,1.04613606255926e-05,-7.14210648917641e-06,7.5985378841634e-05,-1.51569117661375e-05,2.69640792108702e-06,9.93612106571127e-06,-2.34862197840231e-05,2.2701344415073e-05,-4.90748614231546e-05,0.000548224692392411,3.90372289976833e-05,-2.91616668405924e-05,-1.38835262725477e-05,2.36204164015609e-06,-2.27913455075431e-06,-1.08421156338759e-05,-9.90287961104083e-07,1.26614178375819e-05,2.32487436941791e-06,-9.18909859663613e-05,-5.85823165260206e-05,1.36615023072158e-05,-4.06101905987145e-05,4.58036640084143e-05,-9.25948021505816e-06,-1.47386904948199e-05,-2.08365302839802e-05,4.37231469306957e-05,-6.0818482407589e-05,-7.48322826784613e-06,8.68418112383737e-05,-7.05416329911474e-05,-9.4050329733556e-05,-1.43573495140753e-06,1.09175131372535e-05,-7.9166816024461e-05,-1.94244430389784e-05,-8.41616542135974e-07,7.59902254672473e-05,-3.48854895470509e-05,0.00103265574476611,0.00173769813165791,-0.000530399370001579,-3.53233015051078e-05,0.0638590762171097
"kabwe","beta20",-9.92440817374337e-06,-4.97972404156113e-06,-4.77637848899256e-05,1.77005111440209e-05,1.86453936597556e-05,-2.2367536618507e-05,-1.93273510282443e-05,1.78489022341146e-05,-9.45377190891454e-06,-4.64807708400278e-05,-7.01673176701793e-06,-0.000137490877244254,3.90372289976833e-05,0.000305726317188522,-0.000123852214252096,-8.77886050631896e-06,7.6967976268982e-06,-6.22716611276496e-06,-8.16170406873231e-06,2.48342060107277e-05,-2.09409612566028e-05,-1.46680256176017e-05,3.24553005292877e-05,3.47821868637595e-06,-1.46113112624056e-05,-1.09190772429004e-05,-3.13768021555021e-07,1.13957887490762e-05,1.07092080376082e-06,-9.62799126386839e-06,9.15551994120198e-06,1.07228500168978e-05,1.25233600822111e-05,-2.25705980564179e-05,-5.25348972199222e-06,1.83389425692277e-05,4.51969443718321e-05,1.81477254067056e-05,-2.13688762593643e-05,1.70814356498351e-05,3.27134111296518e-05,7.79374869747723e-06,-4.83210429134217e-06,0.000471404194233199,-2.14530056181961e-05,-0.000260178393606332,-2.82613125502093e-05,0.00982086928782529
"kabwe","beta21",8.62674341960805e-06,6.36116674691402e-06,1.24429765013481e-05,-2.69346773452288e-05,-8.00731127279926e-06,-1.60678147923309e-05,-4.09531945378006e-06,3.27960140920842e-06,9.46671673856848e-06,-1.10496240910847e-05,-1.9770741452224e-05,9.78219011458647e-06,-2.91616668405924e-05,-0.000123852214252096,0.000323095800558089,-0.00019007461905167,5.10756953143594e-05,-8.37302928338027e-06,2.7134622262507e-06,4.59716615619181e-06,-2.17866519103396e-05,-4.54549207555424e-06,3.75465887323197e-05,1.04081019789322e-05,-6.37085700075857e-06,3.11152287253554e-05,-2.52234805905618e-06,4.53408464862558e-06,4.63330111428207e-06,1.45045197638706e-05,-7.08847210068208e-06,2.84461896097683e-05,-6.69130723521534e-06,3.50749888780023e-05,-4.3388945988415e-06,-9.93013104136341e-05,-2.95435630768633e-05,-1.25705657350845e-05,4.45071587710709e-05,2.37614192747682e-05,-1.98220810596853e-05,1.99725372223025e-05,-1.46866113207489e-05,-0.000126720343138977,0.00116009474771917,0.000214894992028654,-6.96917100668949e-05,0.000289581306586229
"kabwe","beta22",1.00528883168292e-05,-3.59018150593317e-06,-8.11413111571413e-07,1.66156985547187e-05,1.25001681499713e-05,-1.34334563497655e-05,1.97860044860547e-05,-1.07006236280458e-05,-2.50694924236736e-06,3.94569730708874e-05,1.84569045254495e-05,-3.54682646374545e-05,-1.38835262725477e-05,-8.77886050631896e-06,-0.00019007461905167,0.000272432865676035,-0.000118664759101395,3.37055604353923e-05,-3.83373851550549e-06,-1.30533629123021e-05,2.82756246713005e-05,1.30013127064598e-05,-5.9552494209497e-05,-9.3550815421081e-06,1.01799584315454e-05,-1.84380035620025e-05,2.18064972599657e-05,8.73099499295866e-06,-2.32221211302987e-05,3.04233811669081e-06,-1.43369509759035e-06,-2.70084639932551e-05,6.95127247312197e-06,-1.95581705613064e-05,-2.77737114700209e-06,7.24583036560456e-05,9.8613872387867e-06,1.04612116848528e-05,-9.77917302457684e-06,-3.21074197331024e-06,2.59344692802838e-05,-1.69988177890628e-05,-2.14130618735084e-05,-0.000195019750947379,-0.000217614149952691,-0.00017715794498493,4.74894444020442e-05,-0.0072582132499355
"kabwe","beta23",6.37204485204569e-06,-4.84369157049046e-07,1.44170827385915e-05,-2.49538860672239e-06,-2.42454057399393e-06,1.2950725660779e-05,-1.1577596944625e-05,2.69586107357598e-06,-1.95369815504754e-06,-1.65895489445267e-05,-1.20337537087291e-05,3.06825534680477e-05,2.36204164015609e-06,7.6967976268982e-06,5.10756953143594e-05,-0.000118664759101395,0.000136680043735662,-9.92031766212475e-05,4.00858578281323e-05,-6.06814277451935e-06,-4.81089745017264e-06,-2.60742055009296e-06,2.97450775044328e-05,3.67501536555037e-06,-5.22918256920257e-06,-5.36360688237425e-06,1.27855246842186e-05,-8.45676743685751e-06,2.10736543868901e-05,-1.06400989632844e-05,9.23977154348739e-06,7.30375538422895e-06,-7.36046450917001e-06,4.9426090329059e-06,-1.45275272522477e-05,-1.14067175132412e-05,1.2509553837728e-05,-7.53212051028596e-06,8.01928175636053e-06,-9.5465591216228e-06,-1.35257865697656e-05,8.65906228767906e-06,1.43372228642312e-05,-3.54623634922983e-05,0.00024547735844921,0.000100810514093978,-2.23179497341366e-05,-0.00126278093673551
"kabwe","beta24",6.59237857905293e-06,-1.31497397819152e-06,-1.28690402701566e-05,-9.6305186192554e-08,2.63765926421473e-06,-1.16783719434753e-05,2.73434065614397e-06,2.46592491156726e-06,-3.82827382189413e-06,4.07620674514167e-06,-6.03249015676769e-06,1.07255665711123e-05,-2.27913455075431e-06,-6.22716611276496e-06,-8.37302928338027e-06,3.37055604353923e-05,-9.92031766212475e-05,0.000146399151236574,-0.00010332417191284,2.88978203500644e-05,-5.15169366027418e-06,7.6891469022521e-08,5.98317290887151e-06,-4.00139509558804e-06,-3.53208965242442e-06,2.02803459003856e-05,-2.65011034574167e-05,1.8959846319119e-05,-1.13297317200612e-05,9.27105385757283e-06,-4.05635499945875e-06,6.09309015852719e-06,-2.80310181224671e-06,1.41737503026572e-05,1.53790118547917e-05,-2.44097165467516e-06,-2.82636405661044e-05,3.91095959345551e-06,-6.12586313490068e-06,7.59436727489001e-06,1.55516475845994e-05,-1.31773039083505e-05,-9.69870971991207e-06,9.83552451154707e-06,0.000285075005586799,-9.82564927279582e-06,-1.65631433194054e-05,0.000125183541551324
"kabwe","beta25",-1.94295537650664e-05,2.1184991992609e-06,2.36564202482848e-05,-6.87477315958585e-06,-6.58727316162284e-06,-5.16880668168894e-06,-1.52132189764314e-06,3.26982383021939e-06,3.60872476590681e-06,-2.18925260257682e-06,2.46833447646677e-05,-1.41624259748628e-05,-1.08421156338759e-05,-8.16170406873231e-06,2.7134622262507e-06,-3.83373851550549e-06,4.00858578281323e-05,-0.00010332417191284,0.000150641116119477,-7.36363249957809e-05,1.04726604914795e-05,-5.99867982970872e-06,2.83243245611215e-05,4.01020833966835e-06,2.37522750425867e-05,-2.34969548778239e-06,7.18492841453157e-07,-1.73028489445788e-05,2.29465239896544e-05,-2.16659519802252e-06,8.89082593159983e-06,3.10113985543066e-06,1.83373000237352e-05,-4.94302701288278e-06,-1.02308426448689e-05,9.69081778225002e-06,1.86842072402134e-05,2.39337149914669e-06,1.53117074042377e-05,-1.69810620409031e-06,-1.55475241049415e-05,2.02336611085909e-07,9.15302637151654e-06,-7.70213816578841e-05,-0.00153015702314508,7.30139803887563e-05,4.04147291935392e-05,-0.00397831403839589
"kabwe","beta26",-7.19027158170761e-06,-4.18472280278502e-06,5.66786362807232e-06,-6.09871942424802e-06,2.83503926332682e-06,4.87503734581876e-06,-6.73623306931666e-06,-1.50907579766977e-05,-4.8730067418372e-07,4.19645652000694e-07,-1.79592620898146e-05,3.10651595934944e-05,-9.90287961104083e-07,2.48342060107277e-05,4.59716615619181e-06,-1.30533629123021e-05,-6.06814277451935e-06,2.88978203500644e-05,-7.36363249957809e-05,0.000133995449806837,-7.03586429533286e-05,1.23820911077264e-05,-5.20370736484832e-05,-4.66518560777772e-06,-1.53800493120467e-05,2.13824664172369e-05,1.10885043529095e-05,5.58772592617207e-06,4.63476706900043e-07,-2.35962500126687e-07,2.79581046279267e-06,7.04268870537674e-06,-5.20966314366653e-06,5.39834858614506e-06,1.98602924028657e-05,4.09653103268495e-05,2.85567045399802e-06,-1.80688714750767e-05,-2.80693157524308e-06,-1.33669104035741e-05,1.02643862083738e-05,1.60019349067071e-05,-1.71263306466799e-05,9.28385574723372e-05,-0.000243464679236429,9.87274336122285e-05,-1.41196554904717e-05,-0.00237897451743225
