"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","beta18",-1.09715897618457e-05,9.20779157141816e-06,-3.87715412095359e-05,3.51351569543614e-05,-1.45598803971706e-05,-1.48305508150708e-05,3.66797472455995e-05,2.74992651890988e-06,-1.11843439821355e-05,-0.000182819601397496,0.000273088254867585,-8.81565263891324e-05,0.000205253728435888,1.87297476653426e-05,-1.26437255508528e-05,-1.31493075347203e-05,2.00208229231945e-05,1.91333829217454e-06,-1.69677801922443e-06,-1.87240317805002e-05,-2.68244626422643e-06,2.21984316052246e-05,1.55984219987346e-06,1.41589704765027e-05,4.13327231535742e-05,-1.50498567030726e-05,-2.75962307863081e-05,3.64317536276367e-05,-2.56750942493098e-05,1.6692375913391e-05,-1.58381404002971e-05,-1.17024611293632e-06,-6.26330182008875e-05,1.8140593482211e-05,-2.49354682564717e-05,-3.71460039645373e-05,-8.12666426405103e-06,4.56170528621971e-05,1.801580671328e-05,-1.25666522579214e-05,0.00373241758298532
"kabwe","beta19",4.88960025796892e-06,-1.72365017549862e-05,1.89516591547919e-05,-1.14670959045875e-05,1.90847920890728e-06,3.14650202132148e-05,-4.00147903840835e-05,1.50880409931091e-05,1.29979867044982e-06,7.95923432350413e-06,-8.81565263891324e-05,0.000136262301176626,-8.33142209756204e-05,-7.9897621957698e-05,3.78145686029474e-05,-8.45984337043988e-06,-1.10130918486103e-06,2.50153049447604e-06,-5.94107332692827e-06,1.77160448554469e-05,-1.06354333937488e-06,-1.07394015164831e-05,-3.00035477051392e-05,1.26413856181857e-05,3.79741926612144e-05,-1.22514774250071e-05,2.73799148351024e-05,-2.21110523787279e-05,-5.27489068742555e-06,1.93583436189757e-05,-6.3102731941619e-06,2.98133609554811e-06,1.32886301268699e-05,9.06594673364361e-06,-1.59385249678555e-05,-1.43827274340485e-05,1.49855049039711e-05,-9.8785790555915e-06,-1.87075383009876e-05,5.05722953807516e-06,-0.0121857970090234
"kabwe","beta2",5.79140549891665e-05,0.000302178133837335,-0.000349003277845542,0.000360394784777099,-0.000267367700927484,0.000121583098473377,-7.57400651696545e-05,4.25159831357663e-05,-0.000100671017057201,-8.01185986412474e-05,0.000205253728435888,-8.33142209756204e-05,0.00537527070065587,2.70711163771838e-06,-5.8293101259746e-05,-3.36346623780544e-05,-3.29040019608461e-05,0.000292528903196047,-0.000355572074432535,0.000175710635878929,-0.000231192850660872,0.000389420829866048,0.00029293362074634,0.000648951931927254,-0.000451491347043029,-0.000274582762965404,0.000345827711265011,-0.000282354259188487,0.000330241989271296,-0.000128487008056513,-3.44093158040763e-06,0.000565966460169794,-4.07813155510432e-05,-0.000284420767523164,-0.00035885226840785,-0.000251675585336483,0.000275358258133303,0.00022157572811624,0.000125469287924776,-0.000503235458856369,0.56611810146861
"kabwe","beta20",4.89007249820887e-06,1.11523670655716e-05,-8.87515780904189e-06,4.82466064371139e-06,-4.28354702442737e-06,-1.34518375122421e-05,2.02751800606575e-05,-1.05340179221384e-05,4.47520791528472e-06,8.74326274299485e-06,1.87297476653426e-05,-7.9897621957698e-05,2.70711163771838e-06,0.000104365114151128,-8.5301983416023e-05,3.8993879315236e-05,-1.73062005705629e-05,6.76713504265844e-06,5.35936720632792e-07,-6.20623838256303e-06,2.91165014417954e-06,2.81189065114661e-06,1.65728519693408e-05,1.74937393766508e-07,-9.19220140281941e-06,-9.38938987969648e-08,-6.17847872708269e-06,3.18460533775597e-06,1.20353972162342e-05,-8.77628096786636e-06,1.62002356894623e-05,-5.65658242201874e-06,1.08530830296749e-05,-1.7854401590012e-05,6.19125775138595e-06,1.76767332604738e-05,-1.71071404595752e-05,3.30666032648205e-06,1.15432217099433e-05,3.89857680532993e-06,0.000461916496287201
"kabwe","beta21",-2.11706761922293e-05,-1.47314409855278e-05,2.16882879124034e-05,-6.59075602324948e-06,9.31514514274648e-06,7.62429464141101e-06,-1.26221570827769e-05,1.06141551100569e-05,-7.75579250764994e-06,1.76607179389694e-06,-1.26437255508528e-05,3.78145686029474e-05,-5.8293101259746e-05,-8.5301983416023e-05,0.000144340305560006,-0.000103760526797659,4.30868381183831e-05,-1.75558275254639e-05,2.09703507224479e-05,-1.42842738537476e-05,1.28843203661166e-05,-1.68691148610908e-05,-1.55670122184367e-05,-2.93143130735323e-05,2.90785892907054e-05,3.42554748192042e-06,-4.897493877755e-06,4.54036789893983e-06,-1.51524748272831e-05,1.00092234399954e-05,-1.42377800828019e-05,-3.99875910547535e-06,-2.21004120531853e-05,2.41912847449758e-05,-5.6254263043094e-06,-1.80779733930504e-05,2.70315860182448e-05,-1.38487240898484e-05,-1.77360623199166e-05,3.47491904561209e-05,-0.0115778645713437
"kabwe","beta22",1.73118357240159e-05,6.94196238791255e-06,-1.26372555222032e-05,-4.79357492034313e-06,2.21637642047141e-06,-1.50881600717469e-06,3.1460934048872e-07,-1.37445142914181e-06,1.44706574267877e-07,1.52295268011813e-05,-1.31493075347203e-05,-8.45984337043988e-06,-3.36346623780544e-05,3.8993879315236e-05,-0.000103760526797659,0.000135929493986749,-8.54551010655613e-05,3.05456444256661e-05,-1.85499172885984e-05,2.3932849253676e-05,-6.59637338594556e-06,7.19939171371312e-06,-3.07409837511143e-06,1.44258093362631e-05,-1.5589349270459e-05,1.64135164352275e-05,1.24784331496743e-06,3.9627623821056e-06,9.05222950179486e-06,2.23519681056555e-06,1.85767742687249e-05,-8.66754982395169e-06,3.13429007845628e-05,-6.56313426072352e-06,-1.29400363292377e-06,7.10275108289815e-06,-7.32121812960341e-06,-8.28707984340947e-06,1.49597186757266e-05,-2.01585943992641e-05,-0.00162431532889785
"kabwe","beta23",-5.32495439874043e-06,-5.44450018549523e-06,1.19422707385117e-05,-8.39778220454289e-06,2.81255160324495e-06,-2.84908771860076e-06,1.70890570154401e-05,-4.8114558914336e-06,2.30144644236371e-06,-2.22973466608694e-05,2.00208229231945e-05,-1.10130918486103e-06,-3.29040019608461e-05,-1.73062005705629e-05,4.30868381183831e-05,-8.54551010655613e-05,0.000118272533847177,-9.21853152828703e-05,4.74443198838194e-05,-3.21055210134059e-05,6.74308641227144e-06,9.71059932324262e-06,4.48278574147966e-06,1.34080038011625e-05,3.96458714242002e-06,-5.23687379776299e-06,-1.40655143667373e-05,1.21729150163607e-05,-8.91365963097897e-06,-1.18253958890026e-06,-1.48276276479471e-05,1.6063868912744e-05,-3.8968352480508e-05,2.11384623633781e-06,4.74932449901639e-07,1.74154770708646e-05,-3.98144880022115e-05,4.21998231303312e-06,7.86375756486633e-06,2.01535364907454e-05,0.000378529856727047
"kabwe","beta24",5.09743462640236e-06,1.25183553869595e-05,-2.50615541327627e-05,2.74541012903648e-05,-1.24570220143914e-05,8.69224205839728e-06,-2.41431445363509e-05,5.01114001720102e-06,-3.1224671434917e-06,9.67637230011233e-06,1.91333829217454e-06,2.50153049447604e-06,0.000292528903196047,6.76713504265844e-06,-1.75558275254639e-05,3.05456444256661e-05,-9.21853152828703e-05,0.00014405492954847,-0.000107161212636301,5.71047544088772e-05,-1.64838470320954e-05,7.82792905570286e-06,2.83405338340465e-06,-7.54121104435006e-06,-1.81599562911591e-05,-3.11170135208875e-06,4.10327347093556e-05,-2.99595794665276e-05,2.18608507379538e-05,-3.91927254898494e-07,2.9528895481357e-05,-3.34236472822967e-06,3.40322551986467e-05,-9.84571855505925e-06,-2.97418673649208e-05,-3.17240809666876e-05,7.0586726909834e-05,3.32124367871513e-06,-9.3227535441078e-06,-3.25527262123283e-05,0.0144505660170989
"kabwe","beta25",-2.49941429050931e-05,-1.19880072683458e-05,4.48643727720864e-05,-2.55951233688596e-05,4.94905442113755e-06,-8.57365146849084e-06,4.43196449386009e-05,-7.18483219789711e-06,-3.66623491106281e-06,2.55889263945277e-07,-1.69677801922443e-06,-5.94107332692827e-06,-0.000355572074432535,5.35936720632792e-07,2.09703507224479e-05,-1.85499172885984e-05,4.74443198838194e-05,-0.000107161212636301,0.000150351441846692,-0.000107315881149252,4.98172897004633e-05,-2.63158534276953e-05,5.31277504931002e-06,-1.71487221455299e-05,3.27817693083076e-05,2.32238390612447e-05,-4.15877732280381e-05,4.2133880584286e-05,-1.7370374559618e-05,2.68577995678422e-05,-2.03130690338714e-05,1.52182455268464e-05,-2.96240546587954e-05,1.88771743283498e-05,2.93304043407585e-05,1.87859259477673e-05,-3.15546059541647e-05,-3.79271465409859e-06,-2.94804144032434e-05,1.88281867654981e-05,-0.0254905981357201
"kabwe","beta26",1.359376506341e-05,3.82489676072569e-07,-3.11658194353261e-05,1.84649291846565e-05,3.12492387291768e-06,4.76220738190688e-07,-4.03329367085909e-05,7.30037687577567e-06,6.01831083879e-06,1.64850191306802e-05,-1.87240317805002e-05,1.77160448554469e-05,0.000175710635878929,-6.20623838256303e-06,-1.42842738537476e-05,2.3932849253676e-05,-3.21055210134059e-05,5.71047544088772e-05,-0.000107315881149252,0.000143627250882601,-9.47422408370409e-05,4.01222867773267e-05,-3.49072331028671e-05,1.51054324079237e-05,-1.33069624580479e-05,-2.94722330266719e-06,4.20959753461896e-05,-3.42937269389672e-05,1.44422679059381e-05,-9.51553457679948e-06,2.32715546583047e-05,-1.1997543208937e-05,3.36998112760634e-05,-5.20404394915624e-06,-2.97708075785205e-05,-1.42726791125196e-05,2.71353693311508e-05,1.4682319064043e-06,8.46901564350311e-06,-2.82408407800315e-05,0.00898154178430185
"kabwe","beta27",-3.74921813559324e-06,-5.5217372014768e-06,1.65680234989556e-05,-7.66105993888255e-06,1.4906627527249e-05,-1.02657777015706e-05,8.19670380155145e-06,-1.44356952440444e-05,1.16394463628224e-05,1.83165843708939e-05,-2.68244626422643e-06,-1.06354333937488e-06,-0.000231192850660872,2.91165014417954e-06,1.28843203661166e-05,-6.59637338594556e-06,6.74308641227144e-06,-1.64838470320954e-05,4.98172897004633e-05,-9.47422408370409e-05,0.000234182714588729,-0.000184479080043117,-6.12493206600764e-05,-4.89738963289621e-05,7.08882933057745e-05,4.98640345587634e-05,-1.46117384445922e-05,2.00494216380805e-05,-2.58177574421883e-05,3.81443603107671e-05,-1.2823626732901e-05,-1.92722029527631e-05,3.40777555356217e-06,5.71136707374448e-05,-1.40780422773159e-05,-1.03599713022265e-05,1.56508251130974e-05,-1.02042828433557e-05,-2.57876616228375e-05,0.000138205306498673,-0.0341449638517392
"kabwe","beta28",1.10743753176112e-05,3.59473110553666e-05,-2.88665921598557e-05,3.51751890560979e-06,-1.65426313654384e-06,1.52187563121784e-05,-2.00264885031942e-05,1.78347546113824e-06,-1.08565927663547e-05,-5.61860274399955e-06,2.21984316052246e-05,-1.07394015164831e-05,0.000389420829866048,2.81189065114661e-06,-1.68691148610908e-05,7.19939171371312e-06,9.71059932324262e-06,7.82792905570286e-06,-2.63158534276953e-05,4.01222867773267e-05,-0.000184479080043117,0.000431978053444877,-0.0002231597233647,0.000211874490585774,-8.16624388774422e-05,-2.1143838958994e-05,4.499453914878e-05,-2.38659188127498e-05,5.73081378904582e-05,-4.09963074062437e-05,3.31678377930923e-05,6.47925303636894e-05,-4.43728676972348e-05,-6.67907789966938e-05,-7.59250610675713e-05,-2.98979570482121e-05,1.32138747515229e-05,2.38183785221812e-05,2.43339009857794e-05,-8.38126907226267e-05,0.0570514591013922
"kabwe","beta29",-2.3550310734982e-05,1.44605968575225e-05,1.37165921047299e-05,2.228371187674e-05,-8.32470193860112e-05,1.8470151282139e-05,7.02578004533226e-05,1.11299814113442e-05,-2.13332669451819e-05,-3.67117235190294e-05,1.55984219987346e-06,-3.00035477051392e-05,0.00029293362074634,1.65728519693408e-05,-1.55670122184367e-05,-3.07409837511143e-06,4.48278574147966e-06,2.83405338340465e-06,5.31277504931002e-06,-3.49072331028671e-05,-6.12493206600764e-05,-0.0002231597233647,0.000735879942179907,-0.000159525333317679,-0.000379311090499007,-4.08515267953707e-05,-3.69854488881327e-05,2.12354480649904e-05,3.63985631531773e-05,-2.11308629553242e-05,-2.39159033973719e-05,0.000133647960656368,4.43783715392997e-05,-4.09977779832971e-05,0.000127317064251888,5.54954101212987e-05,-4.49719439500755e-05,-2.36005379716461e-07,3.17635637634654e-05,-0.000248225734250921,0.0378751426154376
"kabwe","beta3",2.2361451648981e-06,6.90032689462064e-05,-0.000113522981165143,3.56469708557772e-05,-2.38226277364471e-05,8.80126609074203e-06,-1.15826314345697e-05,3.61906194277183e-05,1.34291464987178e-06,-2.96639128247243e-05,1.41589704765027e-05,1.26413856181857e-05,0.000648951931927254,1.74937393766508e-07,-2.93143130735323e-05,1.44258093362631e-05,1.34080038011625e-05,-7.54121104435006e-06,-1.71487221455299e-05,1.51054324079237e-05,-4.89738963289621e-05,0.000211874490585774,-0.000159525333317679,0.000834086870523906,-6.06405710581407e-05,-2.69814335138301e-06,4.23421909527882e-05,-4.0251658184974e-05,3.87388508996913e-05,-2.79229589583677e-05,-1.31445086927832e-05,4.57216186130782e-05,-2.87613145078301e-05,-0.000162585195085716,-0.000192843334950936,-1.53552101326223e-05,-8.39737554502646e-05,0.000116256339410255,3.69944602400823e-05,4.63347585053894e-06,0.167018120551015
"kabwe","beta30",-4.54265441513527e-06,-4.6341475213921e-05,7.0288725073763e-05,-4.95219805559734e-05,8.28205527277913e-05,-2.77155917454026e-05,-3.02838923037988e-05,3.92682776210844e-06,1.14591089445566e-05,-3.95203147444472e-05,4.13327231535742e-05,3.79741926612144e-05,-0.000451491347043029,-9.19220140281941e-06,2.90785892907054e-05,-1.5589349270459e-05,3.96458714242002e-06,-1.81599562911591e-05,3.27817693083076e-05,-1.33069624580479e-05,7.08882933057745e-05,-8.16624388774422e-05,-0.000379311090499007,-6.06405710581407e-05,0.000690550050704014,-0.000280454486872412,5.26422666617401e-05,1.98777351794709e-06,-4.97535836622043e-05,5.51508959859574e-05,4.98971883917556e-05,-0.000196592553204072,-9.65395263981413e-05,7.40381132612946e-05,1.30918347433559e-05,-1.00088003570515e-05,-1.72993208876363e-05,-5.78598742384754e-05,-1.33936530113678e-05,0.000125767174091006,-0.0704649100074396
"kabwe","beta31",5.79038902020519e-06,-9.79870119320558e-06,-6.22967190183092e-05,2.59057995903772e-05,1.05880296308743e-05,-3.125851937703e-05,2.5386935099902e-05,-2.57722190030565e-05,8.75471320320763e-06,4.71747867426089e-05,-1.50498567030726e-05,-1.22514774250071e-05,-0.000274582762965404,-9.38938987969648e-08,3.42554748192042e-06,1.64135164352275e-05,-5.23687379776299e-06,-3.11170135208875e-06,2.32238390612447e-05,-2.94722330266719e-06,4.98640345587634e-05,-2.1143838958994e-05,-4.08515267953707e-05,-2.69814335138301e-06,-0.000280454486872412,0.00055414630323953,-0.000243394983942821,7.99469122536047e-05,-2.21333661725301e-05,1.5680132786135e-05,-1.11214805406091e-05,6.01699595208902e-05,9.88764018485695e-05,1.05643883089938e-05,-3.52400639204718e-05,-1.22487319620445e-05,2.33367190327987e-05,4.99414664836595e-05,-3.31523124936149e-05,3.45850874628253e-05,-0.0286310896679217
"kabwe","beta32",-7.79367169291545e-06,3.41586285805394e-05,3.39567091030067e-06,1.13836269486544e-05,-2.36685946485919e-05,3.85921689159495e-05,-2.56048919023445e-05,5.02370606404807e-06,-2.13185419131523e-05,3.97314062996952e-05,-2.75962307863081e-05,2.73799148351024e-05,0.000345827711265011,-6.17847872708269e-06,-4.897493877755e-06,1.24784331496743e-06,-1.40655143667373e-05,4.10327347093556e-05,-4.15877732280381e-05,4.20959753461896e-05,-1.46117384445922e-05,4.499453914878e-05,-3.69854488881327e-05,4.23421909527882e-05,5.26422666617401e-05,-0.000243394983942821,0.00032981040459843,-0.000226828181397829,0.000106654751725787,-2.01652621787144e-05,3.51284598391392e-05,-1.11035702861428e-05,-3.39427042637614e-05,-1.71193518657901e-05,-3.12057339588325e-05,-2.10139913388905e-05,3.28241858840128e-05,-9.36042990838638e-06,-1.08978459986518e-06,1.34295313401103e-05,0.0251328779909596
"kabwe","beta33",-5.41667671412485e-07,-2.8836138040968e-05,1.80638693602725e-05,-1.78850847695146e-05,2.29377657066807e-05,-2.56298234362044e-05,7.97867064450381e-06,6.25955946222045e-06,8.39461228039219e-06,-3.18733890763746e-05,3.64317536276367e-05,-2.21110523787279e-05,-0.000282354259188487,3.18460533775597e-06,4.54036789893983e-06,3.9627623821056e-06,1.21729150163607e-05,-2.99595794665276e-05,4.2133880584286e-05,-3.42937269389672e-05,2.00494216380805e-05,-2.38659188127498e-05,2.12354480649904e-05,-4.0251658184974e-05,1.98777351794709e-06,7.99469122536047e-05,-0.000226828181397829,0.000303976525854869,-0.000206332294178891,9.50859577312916e-05,-3.83719021955446e-05,2.45830618479936e-05,1.94889915027997e-05,3.14013362961814e-05,2.29952140025086e-05,1.8205922982417e-05,-8.76884501691983e-06,-1.19999466329208e-05,-3.56361397762199e-06,-5.93699032208742e-05,-0.0246707522473685
