"date","age_cat","n","percent"
2020-03-17,"Under 15",0,NA
2020-03-17,"15 to 39",2,1
2020-03-17,"40 to 59",0,NA
2020-03-17,"60+",1,1
2020-03-18,"Under 15",2,1
2020-03-18,"15 to 39",0,NA
2020-03-18,"40 to 59",0,NA
2020-03-18,"60+",0,NA
2020-03-19,"Under 15",0,NA
2020-03-19,"15 to 39",1,1
2020-03-19,"40 to 59",2,1
2020-03-19,"60+",1,1
2020-03-20,"Under 15",1,1
2020-03-20,"15 to 39",0,NA
2020-03-20,"40 to 59",0,NA
2020-03-20,"60+",1,1
2020-03-21,"Under 15",0,NA
2020-03-21,"15 to 39",1,1
2020-03-21,"40 to 59",1,1
2020-03-21,"60+",1,1
2020-03-22,"Under 15",1,1
2020-03-22,"15 to 39",1,1
2020-03-22,"40 to 59",0,NA
2020-03-22,"60+",0,NA
2020-03-23,"Under 15",2,1
2020-03-23,"15 to 39",0,NA
2020-03-23,"40 to 59",0,NA
2020-03-23,"60+",0,NA
2020-03-24,"Under 15",1,1
2020-03-24,"15 to 39",1,1
2020-03-24,"40 to 59",2,1
2020-03-24,"60+",0,NA
2020-03-25,"Under 15",0,NA
2020-03-25,"15 to 39",1,1
2020-03-25,"40 to 59",0,NA
2020-03-25,"60+",1,1
2020-03-26,"Under 15",0,NA
2020-03-26,"15 to 39",2,1
2020-03-26,"40 to 59",1,1
2020-03-26,"60+",3,1
2020-03-27,"Under 15",0,NA
2020-03-27,"15 to 39",3,1
2020-03-27,"40 to 59",1,1
2020-03-27,"60+",2,1
2020-03-28,"Under 15",0,NA
2020-03-28,"15 to 39",2,1
2020-03-28,"40 to 59",1,1
2020-03-28,"60+",1,1
2020-03-29,"Under 15",0,NA
2020-03-29,"15 to 39",2,1
2020-03-29,"40 to 59",1,1
2020-03-29,"60+",1,1
2020-03-30,"Under 15",0,NA
2020-03-30,"15 to 39",1,1
2020-03-30,"40 to 59",0,NA
2020-03-30,"60+",1,1
2020-03-31,"Under 15",2,1
2020-03-31,"15 to 39",0,NA
2020-03-31,"40 to 59",0,NA
2020-03-31,"60+",0,NA
2020-04-01,"Under 15",0,NA
2020-04-01,"15 to 39",1,1
2020-04-01,"40 to 59",0,NA
2020-04-01,"60+",2,1
2020-04-02,"Under 15",0,NA
2020-04-02,"15 to 39",0,NA
2020-04-02,"40 to 59",1,1
2020-04-02,"60+",1,1
2020-04-03,"Under 15",0,NA
2020-04-03,"15 to 39",1,1
