"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","beta18",-6.87194756671406e-06,-4.5556259266339e-07,6.12035312108779e-06,-2.47472770115009e-06,-6.358324635834e-07,-6.14690557981382e-06,1.04784112497146e-05,-1.47944342225028e-05,3.76957339914743e-05,-0.000122150385195339,0.00014980899337763,-9.55455625187134e-05,-3.47023773906346e-06,2.597796193269e-05,-5.8135264199882e-06,1.16532688748399e-05,-1.15947251212775e-05,-6.12904095337293e-06,4.0575905858118e-06,-9.88737986622886e-06,5.89289590007211e-06,-1.21193592466238e-05,-3.46449223186969e-05,1.24511854191529e-05,5.64814815630845e-05,-5.07481657762572e-05,3.21220940758426e-05,-2.66244074135615e-05,-2.59641791603056e-05,1.34566963398012e-05,1.52522264358853e-06,-2.35132688007563e-05,7.27460697166174e-06,-1.48990868690021e-05,5.93203218199758e-06,-1.42282199399802e-06,-1.20012514122027e-05,2.81086137203826e-05,-1.07675735037336e-05,6.75987324586043e-06,-0.0018552013442131
"kabwe","beta19",-5.98388275053197e-06,-2.44385654117153e-06,1.59340107020047e-06,-1.23565777480211e-05,1.25458993257919e-05,1.58582510747687e-06,-9.23104418078553e-06,8.26120655213337e-06,-3.87098578789904e-06,2.22630991956198e-05,-9.55455625187134e-05,0.000161999675761659,5.27743359301445e-06,-0.000117200567866643,5.8999942259686e-05,-1.44853821505971e-05,-4.42831717956881e-06,1.42227680065043e-05,-3.29566852576844e-06,3.15643317888413e-06,2.37415264385226e-05,-2.56807459257489e-05,3.82416086107288e-05,-1.81521734883139e-05,-2.66177973369972e-05,4.11994357980765e-05,-3.44127247127115e-05,2.5801741802933e-05,3.12141615196741e-05,-3.29026904000048e-05,3.97478719225027e-05,1.7427658790502e-05,5.83702764659229e-06,1.70618226669813e-05,-5.32426982647489e-06,1.71281178278239e-06,2.14482000494759e-06,-1.1350664826055e-05,1.21589677416758e-05,-9.40041447906358e-06,-0.00369934062702112
"kabwe","beta2",6.97591278600499e-06,8.0694802670096e-07,3.56670031694911e-06,-1.80782825664381e-06,7.36487557508583e-06,-1.10126861363029e-05,9.74836362182613e-06,-8.38059965075319e-06,2.9886397771116e-06,2.44982156413489e-06,-3.47023773906346e-06,5.27743359301445e-06,3.41749807573753e-05,-7.11154549854332e-06,2.9613792269151e-06,1.680862050032e-06,4.69245564463214e-06,-6.32299404166905e-06,-1.0692216549271e-06,5.34566860036745e-06,-5.16843741697395e-06,9.18058177662926e-06,8.04056562252467e-07,-3.95104886590241e-05,-2.41670228067898e-06,6.79863044641944e-06,2.19351821629813e-07,-4.86798896833131e-06,1.31614060168149e-05,-1.10423584580537e-05,-8.12846277281517e-06,-6.67919772820843e-06,2.38297191499772e-05,1.2505406653394e-05,-6.66360658999696e-06,2.39729644888032e-06,-7.19713736938524e-06,9.50589889951138e-06,-6.9796825263963e-06,5.78414240071053e-07,0.0053202352694161
"kabwe","beta20",-4.13834610740274e-05,1.36589791227634e-06,-1.3302828104903e-05,2.78082151913698e-05,-1.65163539653902e-05,-2.35155214436341e-06,1.14919037837415e-05,-3.01478677531399e-06,-6.52387089286266e-06,1.57352831448011e-05,2.597796193269e-05,-0.000117200567866643,-7.11154549854332e-06,0.000176014907171983,-0.000139308427600416,4.02492679535386e-05,1.68823003214242e-06,1.72841955886036e-06,-1.18477911103651e-07,9.46254369021402e-06,-1.933504387241e-05,2.8752988711115e-05,-2.85177555976441e-05,1.5990345139459e-05,-9.15466832681387e-09,-5.80272875528977e-06,2.0214048257261e-05,-1.69116736430705e-05,1.17279594484404e-05,1.55034529415321e-05,-2.38598987164328e-05,3.81005136432899e-05,-6.03070088410312e-06,-4.50243640661457e-06,-3.89267321212155e-06,2.53800407940275e-06,7.44972068758599e-06,-1.14897398483499e-05,2.59431178597272e-06,-9.11360438011024e-06,0.00234397387826041
"kabwe","beta21",-2.53259248969119e-05,-4.99046600236312e-06,1.76792699596909e-05,-2.32511739330382e-05,8.80167580646905e-06,1.72027945767801e-05,-1.45465487788839e-05,1.07656118247407e-05,3.96937911588926e-06,-1.30567958742983e-05,-5.8135264199882e-06,5.8999942259686e-05,2.9613792269151e-06,-0.000139308427600416,0.00021298278208883,-0.000137862046412059,4.74307881315762e-05,4.34484767406273e-06,7.66349290812467e-07,-5.3915094298189e-06,1.10337020650109e-05,-1.95104583357958e-05,4.24308079634898e-05,-8.1897316107902e-06,-9.07250594085769e-06,-1.0027355333819e-05,-7.7405582093349e-06,2.85051119817291e-05,-3.1817630192093e-05,5.56037011665667e-06,-1.8119144291592e-05,-7.78863325998185e-06,-2.88932210836821e-05,-4.57346753739252e-06,1.0954144740147e-05,-1.0032551788849e-05,-3.14308971481507e-07,7.32638978076723e-06,-1.73960863643395e-06,-4.20790318881102e-06,-0.00805324817818576
"kabwe","beta22",-1.28210692952074e-05,4.10712950123782e-06,-6.11353615327945e-06,1.44045482318666e-05,-1.23947508732083e-05,-8.31402342947426e-08,3.70188111949313e-06,-5.07656525331172e-06,3.88074433920295e-06,-5.56787041738635e-07,1.16532688748399e-05,-1.44853821505971e-05,1.680862050032e-06,4.02492679535386e-05,-0.000137862046412059,0.000208567549110121,-0.000155627152658914,3.5213460924563e-05,-1.83448043955722e-06,2.11798425653041e-06,2.00354128467301e-05,-2.91766775606599e-06,-4.07227820091584e-05,5.52059339848133e-06,3.1734921773478e-05,1.10005247656293e-05,2.53254354194999e-06,-7.26648883576401e-06,1.8383788060744e-05,2.69396409695243e-06,-2.56456216477195e-07,2.4725643289997e-05,6.8969503453812e-05,-3.18012880419079e-06,5.09818591061425e-06,-5.1016199600855e-06,-6.16378319503595e-06,1.89844539547603e-05,-5.95071926553793e-06,-1.41797831199889e-05,0.00458305386418129
"kabwe","beta23",3.30714158798744e-05,-1.3032377032986e-05,1.14936178663744e-05,-8.70181765445207e-06,2.15795644016891e-05,-2.48829356430514e-05,2.83754172015343e-05,-1.6692184072087e-05,1.27094360449612e-05,7.80666195941616e-06,-1.15947251212775e-05,-4.42831717956881e-06,4.69245564463214e-06,1.68823003214242e-06,4.74307881315762e-05,-0.000155627152658914,0.000326404080107745,-0.000288010332692293,7.64028100212102e-05,-2.43705918256408e-06,-1.81315256154064e-05,2.35685152083625e-05,1.98511789222809e-05,-1.40582534964003e-05,-2.82243506973809e-05,4.14089288485813e-06,-4.61915993273343e-06,-1.01613659760343e-05,2.4545194477632e-05,-1.01730453300107e-05,1.42964748683751e-06,-6.59516181148013e-05,-6.07968876968075e-05,1.92076296848259e-05,-2.14959511256082e-05,8.55222402075652e-06,1.0922991156689e-05,-7.74977264135752e-06,-1.28699913927617e-05,-1.75418650534948e-05,-0.0130363269544209
"kabwe","beta24",-5.69830240500642e-05,2.15345423381533e-05,-5.05525707922129e-06,-4.06069067723315e-06,-9.43916494769122e-06,3.03351950296553e-05,-3.91394219614054e-05,2.89529301604341e-05,-2.44137915720115e-05,1.57033421318204e-05,-6.12904095337293e-06,1.42227680065043e-05,-6.32299404166905e-06,1.72841955886036e-06,4.34484767406273e-06,3.5213460924563e-05,-0.000288010332692293,0.000441829066338667,-0.000159312407832743,5.90014186019534e-05,-3.53724388982773e-07,2.31920530008026e-05,-9.99600106661818e-06,5.21951581755476e-06,5.63581872784702e-05,-1.13105932192029e-05,2.96433352759342e-05,4.01923433455484e-05,3.70480270834299e-06,2.10386607219405e-06,0.000108967925402815,8.25681693177733e-05,1.50971070126965e-05,-5.76683306907722e-06,1.15324292822094e-05,-3.05491803190223e-06,-4.31509396119064e-06,-1.18004330434852e-05,2.50461366999379e-05,1.19290658713248e-05,0.0202426658660947
"kabwe","beta25",-1.63886430724031e-05,-1.65556957497954e-05,5.85344244283038e-07,5.03036667667011e-06,5.13831993749347e-07,-9.07961572170103e-06,1.49126443516894e-05,-6.69932191399864e-06,8.83685155976981e-06,-5.5864589471613e-06,4.0575905858118e-06,-3.29566852576844e-06,-1.0692216549271e-06,-1.18477911103651e-07,7.66349290812467e-07,-1.83448043955722e-06,7.64028100212102e-05,-0.000159312407832743,0.000118001469739912,-9.48364330027092e-05,4.32729238925326e-05,-4.04232099623837e-05,2.1999886752958e-05,4.86273849507363e-06,-3.20465272850065e-05,4.11035035918888e-05,-2.05915708222454e-05,-1.52701822258485e-05,-8.67572747755771e-06,2.11137437402915e-05,-4.73153624158795e-05,-2.57987074276408e-05,-2.1529344249776e-06,-7.12103568428857e-06,1.28747043439229e-05,-1.07617853728121e-05,4.57763952233855e-06,5.4066216966192e-06,-9.13069329821742e-06,-2.18177528840109e-06,-0.0184629174906035
"kabwe","beta26",-4.92500653972858e-05,1.47505329128875e-05,-6.47340134027757e-06,-3.26778916145961e-09,-2.07686157333069e-06,8.18892937482587e-06,-2.69387594862402e-06,1.6247582778157e-06,-5.73677345803959e-06,1.60113733189095e-05,-9.88737986622886e-06,3.15643317888413e-06,5.34566860036745e-06,9.46254369021402e-06,-5.3915094298189e-06,2.11798425653041e-06,-2.43705918256408e-06,5.90014186019534e-05,-9.48364330027092e-05,0.000201267371457593,-0.000167408639843007,0.000104409199316472,-3.78370220292531e-05,-4.28760702572862e-06,5.7135110541135e-05,-3.31027946291189e-05,2.56103358870794e-05,1.24806374052233e-05,6.06973256887107e-05,-4.017399085927e-05,4.71901196064957e-05,3.22287638874323e-05,-1.75414827892567e-05,1.47650035557686e-05,-3.72904191825856e-05,2.73052904029857e-05,2.88597585032547e-06,-1.59499940980516e-05,1.56789820405317e-05,-3.40216830929744e-05,0.0178078990573818
"kabwe","beta27",-1.17721377033371e-05,-1.20911907932982e-05,1.75973177905803e-05,-5.35355282962323e-06,2.50029347564002e-06,3.03122889095051e-06,-5.76860584036966e-06,7.58193798910279e-06,8.24258389418349e-06,-1.18592593285475e-05,5.89289590007211e-06,2.37415264385226e-05,-5.16843741697395e-06,-1.933504387241e-05,1.10337020650109e-05,2.00354128467301e-05,-1.81315256154064e-05,-3.53724388982773e-07,4.32729238925326e-05,-0.000167408639843007,0.000372929145820045,-0.000267587510986641,4.34049886806185e-05,-5.46764231618049e-07,-9.74437029791992e-06,4.62003923943605e-05,2.069081867365e-05,-1.07193090357856e-05,5.00241393908601e-06,3.18817299225117e-05,8.36356352809703e-06,0.000115311965517986,6.08317894743455e-05,-1.23632445156637e-05,4.00921252248329e-05,-2.88539014098161e-05,6.758611102965e-06,1.09391872870226e-05,-1.5320517063189e-05,-1.63718877651753e-05,-0.0186224932047493
"kabwe","beta28",-1.23003086702553e-05,2.09348302072969e-05,-3.01348360212501e-06,9.7394670935432e-06,3.40428516064968e-08,-8.26649430190928e-06,8.58044282533552e-06,-1.37165261685883e-09,-1.86216104530306e-05,4.57943960928155e-05,-1.21193592466238e-05,-2.56807459257489e-05,9.18058177662926e-06,2.8752988711115e-05,-1.95104583357958e-05,-2.91766775606599e-06,2.35685152083625e-05,2.31920530008026e-05,-4.04232099623837e-05,0.000104409199316472,-0.000267587510986641,0.000486690480438764,-0.000265764232046216,-1.50544945499743e-05,6.98011568421631e-05,-1.4872945015003e-05,1.94524605711273e-05,2.33643915031759e-05,3.18007903027113e-05,-1.03765583690436e-05,0.000118404015422551,-6.3323346944759e-05,-6.81153079706004e-05,1.35362106954095e-05,-1.19277110245041e-05,1.13514189002675e-05,-4.6144717333739e-06,-5.37524738265069e-06,-4.17240828623554e-06,-2.412411096252e-05,0.0270437399033056
"kabwe","beta29",8.43417675538619e-06,-8.99363138678709e-06,1.40713527364221e-05,-1.20907040315234e-05,7.45600305527833e-06,-4.24911142428697e-06,7.09566712479001e-06,-6.01646312420853e-06,9.0935313089247e-06,-4.66224272655373e-06,-3.46449223186969e-05,3.82416086107288e-05,8.04056562252467e-07,-2.85177555976441e-05,4.24308079634898e-05,-4.07227820091584e-05,1.98511789222809e-05,-9.99600106661818e-06,2.1999886752958e-05,-3.78370220292531e-05,4.34049886806185e-05,-0.000265764232046216,0.000493630596003695,-8.16143000568061e-06,-0.000300652776101049,6.68601284725599e-05,-4.90594114121562e-05,7.41868706792493e-05,-3.29655250411699e-05,8.74510680339257e-06,8.12758007661281e-06,-4.5951058072016e-05,-7.6723416031261e-07,2.40441759035847e-06,1.3740826361744e-05,-2.00565172874864e-05,3.0433980639198e-05,-3.65355476905771e-05,7.43611702635182e-06,-2.61930867739328e-06,-0.0121755639894122
"kabwe","beta3",-1.28639532923993e-05,-4.87857534239947e-06,-1.58822226867307e-06,3.67414319370182e-06,-6.86832211459688e-06,1.54226754767362e-05,-1.88773982678389e-05,1.16717492798795e-05,-3.76975983083903e-06,-4.30128940707553e-06,1.24511854191529e-05,-1.81521734883139e-05,-3.95104886590241e-05,1.5990345139459e-05,-8.1897316107902e-06,5.52059339848133e-06,-1.40582534964003e-05,5.21951581755476e-06,4.86273849507363e-06,-4.28760702572862e-06,-5.46764231618049e-07,-1.50544945499743e-05,-8.16143000568061e-06,0.000107084765362921,5.79140681126418e-06,1.2293365680139e-06,-1.39090211824132e-05,3.45214130900047e-06,-1.18588882999508e-05,-6.89579499158179e-06,6.1370271321887e-05,-2.88820753159271e-05,-5.58339474668145e-05,-7.90361319836984e-05,2.17580597041741e-05,-7.54510767742242e-07,1.69822100159704e-06,6.19310595186715e-07,-4.37138253143184e-06,-7.8735978932357e-06,-0.00499869019257363
"kabwe","beta30",1.55281141261096e-05,-5.31028547399376e-07,-2.94094027604059e-07,-8.34894816192705e-06,-6.36556050190375e-06,2.01656913241298e-05,-7.63567714621097e-06,-6.46134809068659e-06,2.29277211578518e-05,-4.05597928710054e-05,5.64814815630845e-05,-2.66177973369972e-05,-2.41670228067898e-06,-9.15466832681387e-09,-9.07250594085769e-06,3.1734921773478e-05,-2.82243506973809e-05,5.63581872784702e-05,-3.20465272850065e-05,5.7135110541135e-05,-9.74437029791992e-06,6.98011568421631e-05,-0.000300652776101049,5.79140681126418e-06,0.000534989754068952,-0.000330203978311049,0.000124817328261976,-5.25646379623152e-05,4.02745080878579e-05,3.70175058932099e-05,4.19099920071175e-05,-2.28078640111187e-05,-1.76567687596649e-05,9.05688282693528e-06,-2.22425157928704e-05,1.5870819417104e-05,-3.49264512020985e-05,4.70476273140677e-05,-7.87856181071963e-07,1.78021721509143e-05,-0.00281940961566837
