"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","beta18",-0.000110678091211232,1.22291485646241e-05,3.25824682210636e-06,4.62118723650886e-05,-3.48837612818729e-05,-3.6530416005688e-05,2.99360350985318e-06,-7.83654689855621e-07,-5.56658272884575e-05,-0.000130102503732739,0.000335482923089781,-1.52232594282583e-05,0.000106774932486764,5.10088706980221e-05,-0.000115576150187017,-9.24768460006242e-05,6.28263709721825e-05,1.81309336456298e-05,-3.91906665503283e-05,8.61452582102307e-05,-2.50771188697714e-05,4.78585740764867e-05,-7.08774284734275e-05,-3.22348975729404e-05,-3.51702898614546e-06,7.39720073576189e-05,1.29137940528304e-05,-0.000159443395348327,0.000124666002003443,-1.91591697340149e-05,1.43748635443643e-05,4.09822882795217e-05,-3.84176265228161e-05,-1.99547526338e-06,-6.96555944089931e-05,0.000280304217618966,3.47362423838364e-05,7.37006358040832e-05,6.75788563421711e-05,-6.97958636847797e-05,0.000112056535930106,-3.09743723900897e-05,1.48037893768288e-05,0.00329659418968367,0.0019548849619831,-0.000394296241016935,0.00969060827442819
"kabwe","beta19",2.43685294074691e-05,2.11669318499053e-05,6.18601901253908e-06,-1.93130683474156e-05,-1.07165175429888e-05,2.17110042557116e-05,-2.57699955604888e-06,-1.40027492340322e-05,5.5867848754643e-06,-7.0466796525745e-06,-1.52232594282583e-05,8.31410397324008e-05,-1.66493336163455e-06,-8.77618978033311e-06,7.48586471578211e-06,-1.65065543792661e-05,-4.81457954517144e-06,1.74805841197755e-05,6.16881411623954e-06,-1.06470950727908e-05,-1.16259103018069e-05,3.0444326334859e-05,1.15991693115865e-05,3.21601991793819e-05,-3.13056149475265e-05,3.53549359212754e-05,2.16544648617084e-05,5.59588247593598e-05,-5.05720833201307e-05,2.93390520010462e-05,2.46733720935488e-05,-4.63246533673313e-05,3.68310036793207e-05,7.25837699794944e-05,-2.32283657273453e-06,-1.01183088157139e-05,-5.64528407247758e-05,7.85820179474758e-05,1.10540062348347e-05,5.2917724865631e-05,-3.32423219719635e-05,-1.18966581804034e-05,3.98441150268476e-06,0.000326780514193215,-0.0011651729797341,-3.36359056167738e-05,0.00044198921811675
"kabwe","beta2",-6.82659638733955e-05,-3.99577201562338e-05,-1.45993713539185e-05,3.18997622737961e-05,-2.12765081066787e-05,-2.42080591907338e-05,1.32720873644726e-05,2.42576517562064e-05,-3.07904677096996e-05,-5.1523007023346e-05,0.000106774932486764,-1.66493336163455e-06,0.00013427295774299,-2.75458740943706e-05,-2.98188750613239e-05,1.63216878789146e-05,-1.77750995691043e-05,2.0913720368336e-05,-1.98581061724597e-05,3.92171151673337e-05,3.46329731212602e-05,-2.33672644200231e-05,-5.79738838093119e-05,-2.23546396921421e-05,5.04273865736855e-05,2.75635257463019e-05,-2.94802507371427e-05,-3.04385350449064e-05,3.99692371737459e-05,-8.64791886528392e-06,6.06646899602997e-06,4.18746475573868e-05,-3.72306367736576e-06,-4.9502815789318e-05,-1.88495484996548e-05,0.000128818550532169,2.19842438685795e-05,2.28786804439564e-05,2.42243483421811e-05,-5.12846720458159e-05,6.84520458938368e-05,-6.19799458233002e-05,1.67000255408566e-05,0.000502654552410908,0.00105027567616532,-0.000117812802859411,0.00584736684205546
"kabwe","beta20",5.21895010534409e-05,4.24002889341409e-05,2.41561501109665e-05,-2.80240872686076e-05,-1.12808855440302e-05,9.56321965541775e-06,8.79039661959759e-06,-1.39789655720314e-05,-4.31543298872717e-06,-1.48707108930698e-05,5.10088706980221e-05,-8.77618978033311e-06,-2.75458740943706e-05,0.000114362605977958,-4.58029580879607e-05,-0.000121156620566475,6.83042014256122e-05,1.65632245031421e-05,-2.07240278294752e-05,4.68288570127599e-06,-1.35332964461485e-05,4.7332108586833e-05,4.97938266814684e-05,4.21991421576445e-05,-0.000143354192383448,8.43362814745925e-05,3.08384848199966e-05,-2.73208019223806e-06,7.74129802828793e-06,-2.00375343202354e-05,4.70429173299759e-06,-2.14937161155303e-05,4.44810860702407e-07,2.16623896668114e-05,-1.75979667347843e-05,5.78312690048424e-05,-4.59093030448842e-05,6.9689351929205e-05,2.6256163868344e-05,1.90050531957174e-05,-2.80551457689074e-05,1.52162419865419e-05,-1.07856560434047e-05,0.00169323943875578,6.41346038314818e-05,-0.000187210601970117,0.0018216250728383
"kabwe","beta21",1.33913045441846e-05,-3.99759322414013e-06,-1.61423887785616e-05,-2.90006215940531e-05,3.92655342190499e-05,1.03661321204658e-05,6.57667643966516e-06,-7.23521708445227e-06,1.14616152765978e-05,4.20979138131272e-05,-0.000115576150187017,7.48586471578211e-06,-2.98188750613239e-05,-4.58029580879607e-05,0.000114331692172906,1.73506756156014e-06,-7.34232696782207e-06,-8.21973055496848e-06,3.47626164520369e-06,9.01464386258612e-06,-3.48050093186405e-06,3.39677687999336e-05,-5.76025080195261e-05,9.57223715311753e-06,6.237117267692e-05,-5.1961401636598e-05,-2.00777402622638e-05,6.85454469836108e-05,-8.39260723549809e-06,1.90986967708262e-05,-8.60270578995965e-06,-4.75156510844628e-05,7.51051910068505e-05,6.05701490856948e-05,4.27084670518217e-05,-8.38145111184015e-05,7.79767716935559e-06,-5.15361813807171e-05,-3.40181873309945e-05,2.71518893907394e-05,-3.92430043310893e-05,1.36169640718536e-05,-5.88924217430762e-06,-0.00100505417461912,-0.00119778572767046,0.000131027495183341,-0.00508326995387632
"kabwe","beta22",-2.13241954537363e-06,-5.8549523412535e-05,-8.08826754824643e-06,3.68421180961852e-05,-4.58092079963971e-06,-9.02464993982577e-06,-1.87754178891275e-05,2.65841043149508e-05,3.19711033629541e-05,3.5636497724778e-05,-9.24768460006242e-05,-1.65065543792661e-05,1.63216878789146e-05,-0.000121156620566475,1.73506756156014e-06,0.000265536211991534,-0.000150678838735905,-2.54519714478257e-05,4.50679914846417e-05,-5.83473006853951e-05,3.96128509869856e-05,-0.000108964548025027,2.16661957138304e-05,-5.95470427429817e-05,0.000135669680111369,-0.000135480093650793,1.37267572931038e-05,8.12373335443253e-06,-8.63768853649615e-05,6.11173066087886e-06,-7.73001746324048e-06,4.33779014384951e-05,-9.46283210058044e-05,-8.142293489161e-05,1.51519608191753e-05,-0.000114615367852044,4.05471035443322e-05,-0.000119789981354848,-2.87570705904825e-05,-5.94036743636751e-06,5.11857159789988e-06,-1.27715210123124e-05,1.28180788588837e-05,-0.00213162101013798,0.000987760810911596,0.0002733509447752,-0.0030433622341845
"kabwe","beta23",9.74182806812608e-06,1.27151607656224e-05,5.51668086338305e-06,-1.61123717760343e-05,-8.19560129779636e-06,3.6602387480575e-06,4.1691307552224e-06,-2.15000016591052e-05,-1.78759489070638e-05,-1.26585884120876e-05,6.28263709721825e-05,-4.81457954517144e-06,-1.77750995691043e-05,6.83042014256122e-05,-7.34232696782207e-06,-0.000150678838735905,0.000129150107792756,-1.54668821896658e-05,-1.91366616016164e-05,4.97514410431648e-06,-6.38527980947779e-08,3.10146417133766e-05,3.26129646773055e-05,2.43512593160331e-05,-7.89096888054994e-05,0.000105736029231733,-1.4550069807612e-05,-9.19841379936268e-05,0.000100702381398052,-1.37932108292429e-06,3.15033337525724e-05,-6.07991536578381e-06,5.31457432157111e-05,3.94871245492791e-05,-1.12349373982768e-05,9.03461791109311e-05,-4.56116977727129e-05,8.31718839579499e-05,1.60582484337173e-05,-2.09731766791736e-05,3.69342873696096e-05,4.28209089519191e-06,-6.25405599666759e-06,0.000669172588511722,-0.000442895000426767,-0.00016448961592738,0.00292205447025642
"kabwe","beta24",5.37771967724951e-06,1.85486866947777e-05,-2.94785231708775e-06,-1.81159863383871e-05,2.61178325846041e-06,-4.51485451223286e-06,1.81021863695982e-05,1.34106375199221e-05,-1.65588945661041e-06,-2.44373141666592e-05,1.81309336456298e-05,1.74805841197755e-05,2.0913720368336e-05,1.65632245031421e-05,-8.21973055496848e-06,-2.54519714478257e-05,-1.54668821896658e-05,6.81257831229133e-05,-3.05973592492089e-05,3.65751968672529e-05,-2.09302320456579e-05,6.73899959821081e-05,-4.85089132423883e-05,2.15325550446478e-05,-3.03908429655906e-05,2.75597571635334e-05,6.60488002907673e-06,6.92955786508453e-05,-4.15514882484447e-05,2.95788243369191e-05,-3.22535267701575e-05,-3.41935320983818e-05,4.24767905043759e-06,6.71671280275481e-05,-3.38286130025149e-06,4.91870275718348e-05,-4.88867464192468e-05,6.89556169550828e-05,1.96973669693786e-05,4.56177098308332e-05,-2.90387141110086e-05,-1.24320762880536e-05,1.54074677558653e-06,0.000645202800545334,-0.000349137301852806,-7.31289470569082e-05,-0.000265940012752693
"kabwe","beta25",1.35118567648201e-05,8.47421132518932e-06,7.51771443331765e-06,7.57555904041513e-07,-8.23443789445207e-06,1.54757660433234e-05,-3.71919717927473e-06,-3.34563425305337e-07,1.74141009548177e-06,2.18010250749796e-05,-3.91906665503283e-05,6.16881411623954e-06,-1.98581061724597e-05,-2.07240278294752e-05,3.47626164520369e-06,4.50679914846417e-05,-1.91366616016164e-05,-3.05973592492089e-05,4.15579507305718e-05,-4.35069506375652e-05,1.5718437768665e-05,-4.89661080912333e-05,6.38918937581359e-05,-7.70179124241133e-07,5.4681638499274e-06,-7.22878552711631e-06,9.48871315191631e-06,-1.50777455031791e-05,2.0390076010041e-06,-1.51507270087737e-05,2.01008922759738e-05,1.88437297430823e-05,6.65046267445126e-06,-4.29661546681921e-05,-2.69403608895091e-06,-3.88979285084792e-05,-7.40045632674704e-06,-3.01160074333875e-05,-7.3151484101917e-06,-7.28453842807224e-06,2.69549497791025e-06,-9.31386173585239e-08,-6.03225062419486e-07,-0.000834120605638638,0.000121747680593986,8.24149231533446e-05,-0.000533333142553461
"kabwe","beta26",-0.000107653060879189,6.37632961353731e-06,-2.30949206413038e-05,1.33433583021734e-05,3.06583080978002e-05,-1.81800523101867e-05,9.57817888666497e-06,-5.73068743671782e-06,-2.57271028688034e-05,-3.61005817856294e-05,8.61452582102307e-05,-1.06470950727908e-05,3.92171151673337e-05,4.68288570127599e-06,9.01464386258612e-06,-5.83473006853951e-05,4.97514410431648e-06,3.65751968672529e-05,-4.35069506375652e-05,0.000140637421635399,-7.21596832739477e-05,0.000109781961883426,-0.000165814259120968,-2.32821359986282e-05,7.68842530547289e-05,-9.41616069194896e-05,1.85874773583971e-05,3.69451944688924e-05,2.89228896041832e-05,3.06881769662068e-05,-6.56613664516955e-05,-3.10062244807722e-05,3.24312702544732e-05,5.09565402334319e-05,-6.63265799784596e-06,3.48531863756641e-05,6.37593752288074e-05,-3.42691850010206e-05,8.01330803725431e-06,1.26923866260579e-05,-1.56634755749077e-05,2.03991209012871e-05,5.61610526131983e-06,0.00157635593674622,0.000151149802083057,-7.26282148550634e-05,-0.00258600345184408
